Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2009,39,39011,Auglaize County (OH),"45,812","3,874","3,121","4,627","3,121 to 4,627",8.5,6.8,10.1,6.8 to 10.1,"11,349","1,297","1,029","1,565","1,029 to 1,565",11.4,9.1,13.8,9.1 to 13.8,"8,251",844,660,"1,028","660 to 1,028",10.2,8,12.5,8.0 to 12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,797 ","$46,569 ","$51,024 ","$46,569 to $51,024"
2008,39,39011,Auglaize County (OH),"45,702","3,583","2,901","4,266","2,901 to 4,266",7.8,6.3,9.3,6.3 to 9.3,"11,182","1,165",924,"1,405","924 to 1,405",10.4,8.3,12.6,8.3 to 12.6,"8,160",671,519,823,519 to 823,8.2,6.4,10.1,6.4 to 10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,152 ","$47,855 ","$56,448 ","$47,855 to $56,448"
2007,39,39011,Auglaize County (OH),"45,508","3,269","2,659","3,879","2,659 to 3,879",7.2,5.8,8.5,5.8 to 8.5,"11,210","1,063",823,"1,303","823 to 1,303",9.5,7.3,11.6,7.3 to 11.6,"8,262",683,517,849,517 to 849,8.3,6.3,10.3,6.3 to 10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,308 ","$48,306 ","$54,309 ","$48,306 to $54,309"
2006,39,39011,Auglaize County (OH),"46,121","3,751","3,019","4,484","3,019 to 4,484",8.1,6.5,9.7,6.5 to 9.7,"11,506","1,117",893,"1,340","893 to 1,340",9.7,7.8,11.6,7.8 to 11.6,"8,542",700,546,854,546 to 854,8.2,6.4,10,6.4 to 10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,067 ","$45,514 ","$52,621 ","$45,514 to $52,621"
2005,39,39011,Auglaize County (OH),"46,029","3,272","2,693","3,851","2,693 to 3,851",7.1,5.9,8.4,5.9 to 8.4,"11,484","1,062",836,"1,289","836 to 1,289",9.3,7.3,11.2,7.3 to 11.2,"8,710",671,514,828,514 to 828,7.7,5.9,9.5,5.9 to 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,568 ","$46,691 ","$50,446 ","$46,691 to $50,446"
2004,39,39011,Auglaize County (OH),"46,741","3,290","2,517","4,063","2,517 to 4,063",7,5.4,8.7,5.4 to 8.7,"11,690","1,065",781,"1,348","781 to 1,348",9.1,6.7,11.5,6.7 to 11.5,"8,774",672,466,878,466 to 878,7.7,5.3,10,5.3 to 10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,070 ","$43,244 ","$49,081 ","$43,244 to $49,081"
2003,39,39011,Auglaize County (OH),"46,368","3,088","2,375","3,802","2,375 to 3,802",6.7,5.1,8.2,5.1 to 8.2,"11,891",984,730,"1,239","730 to 1,239",8.3,6.1,10.4,6.1 to 10.4,"8,871",607,429,785,429 to 785,6.8,4.8,8.9,4.8 to 8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,763 ","$42,013 ","$47,692 ","$42,013 to $47,692"
2002,39,39011,Auglaize County (OH),"46,198","3,023","2,332","3,713","2,332 to 3,713",6.5,5,8,5.0 to 8.0,"12,073",876,652,"1,101","652 to 1,101",7.3,5.4,9.1,5.4 to 9.1,"8,999",556,391,721,391 to 721,6.2,4.3,8,4.3 to 8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,744 ","$40,789 ","$46,912 ","$40,789 to $46,912"
2019,39,39013,Belmont County (OH),"63,136","7,355","5,934","8,776","5,934 to 8,776",11.6,9.3,13.9,9.3 to 13.9,"12,150","1,908","1,333","2,483","1,333 to 2,483",15.7,11,20.4,11.0 to 20.4,"8,995","1,237",782,"1,692","782 to 1,692",13.8,8.7,18.9,8.7 to 18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,166 ","$46,532 ","$53,800 ","$46,532 to $53,800"
2018,39,39013,Belmont County (OH),"63,593","8,272","6,617","9,927","6,617 to 9,927",13,10.4,15.6,10.4 to 15.6,"12,340","2,184","1,596","2,772","1,596 to 2,772",17.7,12.9,22.5,12.9 to 22.5,"9,122","1,472","1,032","1,912","1,032 to 1,912",16.1,11.3,20.9,11.3 to 20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,989 ","$45,188 ","$52,790 ","$45,188 to $52,790"
2017,39,39013,Belmont County (OH),"64,140","7,114","5,309","8,919","5,309 to 8,919",11.1,8.3,13.9,8.3 to 13.9,"12,520","2,157","1,548","2,766","1,548 to 2,766",17.2,12.3,22.1,12.3 to 22.1,"9,131","1,502","1,055","1,949","1,055 to 1,949",16.4,11.5,21.3,11.5 to 21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,221 ","$49,953 ","$54,489 ","$49,953 to $54,489"
2016,39,39013,Belmont County (OH),"64,753","10,135","8,629","11,641","8,629 to 11,641",15.7,13.4,18,13.4 to 18.0,"12,633","2,715","2,208","3,222","2,208 to 3,222",21.5,17.5,25.5,17.5 to 25.5,"9,138","1,846","1,468","2,224","1,468 to 2,224",20.2,16.1,24.3,16.1 to 24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,661 ","$41,888 ","$49,434 ","$41,888 to $49,434"
2015,39,39013,Belmont County (OH),"65,255","9,524","7,741","11,307","7,741 to 11,307",14.6,11.9,17.3,11.9 to 17.3,"12,783","2,696","2,147","3,245","2,147 to 3,245",21.1,16.8,25.4,16.8 to 25.4,"9,328","1,807","1,385","2,229","1,385 to 2,229",19.4,14.9,23.9,14.9 to 23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,675 ","$43,571 ","$47,779 ","$43,571 to $47,779"
2014,39,39013,Belmont County (OH),"65,518","10,537","8,862","12,212","8,862 to 12,212",16.1,13.5,18.7,13.5 to 18.7,"12,857","3,152","2,594","3,710","2,594 to 3,710",24.5,20.2,28.8,20.2 to 28.8,"9,421","1,990","1,567","2,413","1,567 to 2,413",21.1,16.6,25.6,16.6 to 25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,983 ","$39,183 ","$44,783 ","$39,183 to $44,783"
2013,39,39013,Belmont County (OH),"65,644","11,014","9,255","12,773","9,255 to 12,773",16.8,14.1,19.5,14.1 to 19.5,"12,904","3,257","2,636","3,878","2,636 to 3,878",25.2,20.4,30,20.4 to 30.0,"9,393","2,243","1,755","2,731","1,755 to 2,731",23.9,18.7,29.1,18.7 to 29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,264 ","$36,335 ","$42,193 ","$36,335 to $42,193"
2012,39,39013,Belmont County (OH),"65,714","10,698","8,989","12,407","8,989 to 12,407",16.3,13.7,18.9,13.7 to 18.9,"12,966","3,280","2,672","3,888","2,672 to 3,888",25.3,20.6,30,20.6 to 30.0,"9,549","2,314","1,879","2,749","1,879 to 2,749",24.2,19.6,28.8,19.6 to 28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,176 ","$39,823 ","$44,529 ","$39,823 to $44,529"
2011,39,39013,Belmont County (OH),"66,257","10,418","8,587","12,249","8,587 to 12,249",15.7,12.9,18.5,12.9 to 18.5,"13,301","3,196","2,554","3,838","2,554 to 3,838",24,19.2,28.8,19.2 to 28.8,"9,762","2,241","1,761","2,721","1,761 to 2,721",23,18.1,27.9,18.1 to 27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,300 ","$38,487 ","$42,113 ","$38,487 to $42,113"
2010,39,39013,Belmont County (OH),"66,425","10,809","8,735","12,883","8,735 to 12,883",16.3,13.2,19.4,13.2 to 19.4,"13,393","3,396","2,697","4,095","2,697 to 4,095",25.4,20.2,30.6,20.2 to 30.6,"9,819","2,295","1,824","2,766","1,824 to 2,766",23.4,18.6,28.2,18.6 to 28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,913 ","$35,320 ","$40,506 ","$35,320 to $40,506"
2009,39,39013,Belmont County (OH),"64,059","10,763","8,942","12,583","8,942 to 12,583",16.8,14,19.6,14.0 to 19.6,"13,214","3,336","2,718","3,953","2,718 to 3,953",25.2,20.6,29.9,20.6 to 29.9,"9,678","2,177","1,742","2,612","1,742 to 2,612",22.5,18,27,18.0 to 27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,473 ","$34,972 ","$39,974 ","$34,972 to $39,974"
2008,39,39013,Belmont County (OH),"64,019","10,276","8,730","11,822","8,730 to 11,822",16.1,13.6,18.5,13.6 to 18.5,"13,047","2,966","2,413","3,519","2,413 to 3,519",22.7,18.5,27,18.5 to 27.0,"9,488","1,884","1,488","2,280","1,488 to 2,280",19.9,15.7,24,15.7 to 24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,941 ","$35,114 ","$40,769 ","$35,114 to $40,769"
2007,39,39013,Belmont County (OH),"64,371","9,856","8,101","11,611","8,101 to 11,611",15.3,12.6,18,12.6 to 18.0,"13,247","3,093","2,428","3,757","2,428 to 3,757",23.3,18.3,28.4,18.3 to 28.4,"9,711","2,024","1,554","2,494","1,554 to 2,494",20.8,16,25.7,16.0 to 25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$35,780 ","$34,134 ","$37,426 ","$34,134 to $37,426"
2006,39,39013,Belmont County (OH),"65,247","10,410","8,768","12,053","8,768 to 12,053",16,13.4,18.5,13.4 to 18.5,"13,410","3,178","2,599","3,758","2,599 to 3,758",23.7,19.4,28,19.4 to 28.0,"9,890","2,146","1,707","2,585","1,707 to 2,585",21.7,17.3,26.1,17.3 to 26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$35,561 ","$32,927 ","$38,194 ","$32,927 to $38,194"
2005,39,39013,Belmont County (OH),"65,640","10,535","9,099","11,972","9,099 to 11,972",16.1,13.9,18.2,13.9 to 18.2,"13,444","3,051","2,489","3,612","2,489 to 3,612",22.7,18.5,26.9,18.5 to 26.9,"10,083","2,046","1,639","2,453","1,639 to 2,453",20.3,16.3,24.3,16.3 to 24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,044 ","$31,844 ","$36,243 ","$31,844 to $36,243"
2004,39,39013,Belmont County (OH),"66,332","9,800","7,587","12,014","7,587 to 12,014",14.8,11.4,18.1,11.4 to 18.1,"13,673","2,997","2,222","3,772","2,222 to 3,772",21.9,16.3,27.6,16.3 to 27.6,"10,152","1,802","1,264","2,340","1,264 to 2,340",17.7,12.5,23,12.5 to 23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,910 ","$30,922 ","$35,025 ","$30,922 to $35,025"
2003,39,39013,Belmont County (OH),"66,623","9,546","7,445","11,648","7,445 to 11,648",14.3,11.2,17.5,11.2 to 17.5,"13,893","3,005","2,254","3,756","2,254 to 3,756",21.6,16.2,27,16.2 to 27.0,"10,389","1,832","1,312","2,352","1,312 to 2,352",17.6,12.6,22.6,12.6 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,559 ","$29,682 ","$33,556 ","$29,682 to $33,556"
2002,39,39013,Belmont County (OH),"66,755","9,728","7,602","11,854","7,602 to 11,854",14.6,11.4,17.8,11.4 to 17.8,"14,091","2,734","2,045","3,422","2,045 to 3,422",19.4,14.5,24.3,14.5 to 24.3,"10,588","1,760","1,247","2,273","1,247 to 2,273",16.6,11.8,21.5,11.8 to 21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$30,473 ","$28,523 ","$32,556 ","$28,523 to $32,556"
2019,39,39015,Brown County (OH),"42,659","5,162","4,082","6,242","4,082 to 6,242",12.1,9.6,14.6,9.6 to 14.6,"9,697","1,741","1,211","2,271","1,211 to 2,271",18,12.5,23.5,12.5 to 23.5,"7,162","1,177",765,"1,589","765 to 1,589",16.4,10.6,22.2,10.6 to 22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,441 ","$54,015 ","$62,867 ","$54,015 to $62,867"
2018,39,39015,Brown County (OH),"42,823","5,064","3,954","6,174","3,954 to 6,174",11.8,9.2,14.4,9.2 to 14.4,"9,699","1,788","1,294","2,282","1,294 to 2,282",18.4,13.3,23.5,13.3 to 23.5,"7,238","1,263",886,"1,640","886 to 1,640",17.4,12.2,22.6,12.2 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,334 ","$50,455 ","$60,213 ","$50,455 to $60,213"
2017,39,39015,Brown County (OH),"42,801","7,219","6,178","8,260","6,178 to 8,260",16.9,14.5,19.3,14.5 to 19.3,"9,784","2,212","1,764","2,660","1,764 to 2,660",22.6,18,27.2,18.0 to 27.2,"7,323","1,472","1,128","1,816","1,128 to 1,816",20.1,15.4,24.8,15.4 to 24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,207 ","$43,974 ","$52,440 ","$43,974 to $52,440"
2016,39,39015,Brown County (OH),"42,971","7,196","6,101","8,291","6,101 to 8,291",16.7,14.2,19.2,14.2 to 19.2,"9,785","2,378","1,917","2,839","1,917 to 2,839",24.3,19.6,29,19.6 to 29.0,"7,347","1,628","1,290","1,966","1,290 to 1,966",22.2,17.6,26.8,17.6 to 26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,504 ","$47,002 ","$56,006 ","$47,002 to $56,006"
2015,39,39015,Brown County (OH),"43,079","6,424","5,142","7,706","5,142 to 7,706",14.9,11.9,17.9,11.9 to 17.9,"9,925","2,347","1,864","2,830","1,864 to 2,830",23.6,18.7,28.5,18.7 to 28.5,"7,469","1,613","1,247","1,979","1,247 to 1,979",21.6,16.7,26.5,16.7 to 26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,202 ","$43,242 ","$51,162 ","$43,242 to $51,162"
2014,39,39015,Brown County (OH),"43,349","6,503","5,203","7,803","5,203 to 7,803",15,12,18,12.0 to 18.0,"10,119","2,408","1,862","2,954","1,862 to 2,954",23.8,18.4,29.2,18.4 to 29.2,"7,579","1,685","1,299","2,071","1,299 to 2,071",22.2,17.1,27.3,17.1 to 27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,484 ","$42,621 ","$50,347 ","$42,621 to $50,347"
2013,39,39015,Brown County (OH),"43,483","7,724","6,539","8,909","6,539 to 8,909",17.8,15.1,20.5,15.1 to 20.5,"10,214","2,621","2,122","3,120","2,122 to 3,120",25.7,20.8,30.6,20.8 to 30.6,"7,646","1,659","1,272","2,046","1,272 to 2,046",21.7,16.6,26.8,16.6 to 26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,050 ","$39,490 ","$46,610 ","$39,490 to $46,610"
2012,39,39015,Brown County (OH),"43,599","7,328","6,169","8,487","6,169 to 8,487",16.8,14.1,19.5,14.1 to 19.5,"10,346","2,675","2,200","3,150","2,200 to 3,150",25.9,21.3,30.5,21.3 to 30.5,"7,709","1,826","1,488","2,164","1,488 to 2,164",23.7,19.3,28.1,19.3 to 28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,209 ","$40,834 ","$47,584 ","$40,834 to $47,584"
2011,39,39015,Brown County (OH),"43,921","6,855","5,517","8,193","5,517 to 8,193",15.6,12.6,18.6,12.6 to 18.6,"10,595","2,594","2,037","3,151","2,037 to 3,151",24.5,19.2,29.8,19.2 to 29.8,"7,908","1,760","1,367","2,153","1,367 to 2,153",22.3,17.3,27.3,17.3 to 27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,181 ","$39,738 ","$46,624 ","$39,738 to $46,624"
2010,39,39015,Brown County (OH),"44,087","5,744","4,565","6,923","4,565 to 6,923",13,10.3,15.7,10.3 to 15.7,"10,770","2,237","1,704","2,770","1,704 to 2,770",20.8,15.8,25.8,15.8 to 25.8,"7,989","1,554","1,185","1,923","1,185 to 1,923",19.5,14.9,24.1,14.9 to 24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,892 ","$39,448 ","$44,336 ","$39,448 to $44,336"
2009,39,39015,Brown County (OH),"43,434","5,638","4,361","6,915","4,361 to 6,915",13,10,15.9,10.0 to 15.9,"10,567","2,171","1,704","2,638","1,704 to 2,638",20.5,16.1,25,16.1 to 25.0,"7,788","1,420","1,100","1,740","1,100 to 1,740",18.2,14.1,22.3,14.1 to 22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,796 ","$41,458 ","$48,134 ","$41,458 to $48,134"
2008,39,39015,Brown County (OH),"43,401","5,747","4,714","6,779","4,714 to 6,779",13.2,10.9,15.6,10.9 to 15.6,"10,612","2,208","1,762","2,655","1,762 to 2,655",20.8,16.6,25,16.6 to 25.0,"7,831","1,398","1,082","1,714","1,082 to 1,714",17.9,13.8,21.9,13.8 to 21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,912 ","$41,498 ","$48,325 ","$41,498 to $48,325"
2007,39,39015,Brown County (OH),"43,347","5,897","4,778","7,017","4,778 to 7,017",13.6,11,16.2,11.0 to 16.2,"10,771","2,136","1,648","2,624","1,648 to 2,624",19.8,15.3,24.4,15.3 to 24.4,"7,940","1,392","1,055","1,729","1,055 to 1,729",17.5,13.3,21.8,13.3 to 21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,642 ","$40,708 ","$46,577 ","$40,708 to $46,577"
2006,39,39015,Brown County (OH),"43,801","6,058","4,983","7,133","4,983 to 7,133",13.8,11.4,16.3,11.4 to 16.3,"10,914","2,182","1,774","2,590","1,774 to 2,590",20,16.3,23.7,16.3 to 23.7,"8,114","1,333","1,047","1,619","1,047 to 1,619",16.4,12.9,20,12.9 to 20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,071 ","$40,237 ","$45,904 ","$40,237 to $45,904"
2005,39,39015,Brown County (OH),"43,731","6,145","5,133","7,157","5,133 to 7,157",14.1,11.7,16.4,11.7 to 16.4,"10,897","2,293","1,832","2,754","1,832 to 2,754",21,16.8,25.3,16.8 to 25.3,"8,137","1,471","1,143","1,799","1,143 to 1,799",18.1,14,22.1,14.0 to 22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,978 ","$37,471 ","$42,486 ","$37,471 to $42,486"
2004,39,39015,Brown County (OH),"44,186","5,259","4,056","6,462","4,056 to 6,462",11.9,9.2,14.6,9.2 to 14.6,"11,070","1,939","1,435","2,444","1,435 to 2,444",17.5,13,22.1,13.0 to 22.1,"8,192","1,228",859,"1,597","859 to 1,597",15,10.5,19.5,10.5 to 19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,165 ","$38,668 ","$43,823 ","$38,668 to $43,823"
2003,39,39015,Brown County (OH),"43,963","4,624","3,579","5,669","3,579 to 5,669",10.5,8.1,12.9,8.1 to 12.9,"11,153","1,741","1,301","2,180","1,301 to 2,180",15.6,11.7,19.5,11.7 to 19.5,"8,321","1,111",789,"1,433","789 to 1,433",13.4,9.5,17.2,9.5 to 17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,096 ","$37,661 ","$42,689 ","$37,661 to $42,689"
2002,39,39015,Brown County (OH),"43,557","4,506","3,497","5,516","3,497 to 5,516",10.3,8,12.7,8.0 to 12.7,"11,248","1,525","1,143","1,907","1,143 to 1,907",13.6,10.2,17,10.2 to 17.0,"8,478","1,018",722,"1,314","722 to 1,314",12,8.5,15.5,8.5 to 15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,614 ","$36,061 ","$41,347 ","$36,061 to $41,347"
2019,39,39017,Butler County (OH),"370,418","43,439","39,210","47,668","39,210 to 47,668",11.7,10.6,12.8,10.6 to 12.8,"87,550","12,338","10,259","14,417","10,259 to 14,417",14.1,11.7,16.5,11.7 to 16.5,"64,787","8,396","6,896","9,896","6,896 to 9,896",13,10.7,15.3,10.7 to 15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$68,611 ","$65,878 ","$71,344 ","$65,878 to $71,344"
2018,39,39017,Butler County (OH),"369,659","45,821","41,816","49,826","41,816 to 49,826",12.4,11.3,13.5,11.3 to 13.5,"88,101","13,610","11,616","15,604","11,616 to 15,604",15.4,13.1,17.7,13.1 to 17.7,"65,422","9,232","7,847","10,617","7,847 to 10,617",14.1,12,16.2,12.0 to 16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,053 ","$58,818 ","$63,288 ","$58,818 to $63,288"
2017,39,39017,Butler County (OH),"367,757","39,242","35,065","43,419","35,065 to 43,419",10.7,9.6,11.8,9.6 to 11.8,"88,561","11,602","9,564","13,640","9,564 to 13,640",13.1,10.8,15.4,10.8 to 15.4,"65,298","7,830","6,241","9,419","6,241 to 9,419",12,9.6,14.4,9.6 to 14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,026 ","$61,867 ","$66,185 ","$61,867 to $66,185"
2016,39,39017,Butler County (OH),"364,809","45,165","40,436","49,894","40,436 to 49,894",12.4,11.1,13.7,11.1 to 13.7,"88,230","13,984","11,853","16,115","11,853 to 16,115",15.8,13.4,18.2,13.4 to 18.2,"65,118","9,727","8,179","11,275","8,179 to 11,275",14.9,12.5,17.3,12.5 to 17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,094 ","$60,771 ","$65,417 ","$60,771 to $65,417"
2015,39,39017,Butler County (OH),"364,168","52,356","47,705","57,007","47,705 to 57,007",14.4,13.1,15.7,13.1 to 15.7,"88,932","16,319","14,365","18,273","14,365 to 18,273",18.3,16.1,20.5,16.1 to 20.5,"66,259","11,316","9,885","12,747","9,885 to 12,747",17.1,14.9,19.3,14.9 to 19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,954 ","$56,010 ","$61,898 ","$56,010 to $61,898"
2014,39,39017,Butler County (OH),"362,175","52,128","47,379","56,877","47,379 to 56,877",14.4,13.1,15.7,13.1 to 15.7,"89,461","18,190","16,116","20,264","16,116 to 20,264",20.3,18,22.6,18.0 to 22.6,"66,391","12,758","11,224","14,292","11,224 to 14,292",19.2,16.9,21.5,16.9 to 21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,558 ","$56,387 ","$60,729 ","$56,387 to $60,729"
2013,39,39017,Butler County (OH),"359,394","47,855","42,819","52,891","42,819 to 52,891",13.3,11.9,14.7,11.9 to 14.7,"89,013","15,524","13,288","17,760","13,288 to 17,760",17.4,14.9,19.9,14.9 to 19.9,"65,889","9,967","8,322","11,612","8,322 to 11,612",15.1,12.6,17.6,12.6 to 17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,992 ","$53,345 ","$58,639 ","$53,345 to $58,639"
2012,39,39017,Butler County (OH),"358,835","50,091","45,362","54,820","45,362 to 54,820",14,12.7,15.3,12.7 to 15.3,"89,823","17,743","15,511","19,975","15,511 to 19,975",19.8,17.3,22.3,17.3 to 22.3,"66,232","11,113","9,522","12,704","9,522 to 12,704",16.8,14.4,19.2,14.4 to 19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,599 ","$53,448 ","$57,750 ","$53,448 to $57,750"
2011,39,39017,Butler County (OH),"358,340","49,749","45,755","53,743","45,755 to 53,743",13.9,12.8,15,12.8 to 15.0,"90,800","16,517","14,482","18,552","14,482 to 18,552",18.2,16,20.4,16.0 to 20.4,"66,187","9,767","8,041","11,493","8,041 to 11,493",14.8,12.2,17.4,12.2 to 17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,275 ","$51,232 ","$55,318 ","$51,232 to $55,318"
2010,39,39017,Butler County (OH),"356,961","48,197","43,180","53,214","43,180 to 53,214",13.5,12.1,14.9,12.1 to 14.9,"91,147","16,140","13,907","18,373","13,907 to 18,373",17.7,15.3,20.1,15.3 to 20.1,"66,173","10,976","9,466","12,486","9,466 to 12,486",16.6,14.3,18.9,14.3 to 18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,359 ","$52,284 ","$56,434 ","$52,284 to $56,434"
2009,39,39017,Butler County (OH),"351,602","46,350","41,858","50,843","41,858 to 50,843",13.2,11.9,14.5,11.9 to 14.5,"88,588","15,499","13,597","17,400","13,597 to 17,400",17.5,15.3,19.6,15.3 to 19.6,"63,237","10,381","9,102","11,660","9,102 to 11,660",16.4,14.4,18.4,14.4 to 18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,543 ","$51,202 ","$55,885 ","$51,202 to $55,885"
2008,39,39017,Butler County (OH),"349,365","41,659","36,954","46,364","36,954 to 46,364",11.9,10.6,13.3,10.6 to 13.3,"88,597","12,130","10,048","14,213","10,048 to 14,213",13.7,11.3,16,11.3 to 16.0,"63,301","7,648","6,237","9,059","6,237 to 9,059",12.1,9.9,14.3,9.9 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,856 ","$50,856 ","$54,856 ","$50,856 to $54,856"
2007,39,39017,Butler County (OH),"346,635","41,421","36,686","46,156","36,686 to 46,156",11.9,10.6,13.3,10.6 to 13.3,"88,051","11,071","9,114","13,029","9,114 to 13,029",12.6,10.4,14.8,10.4 to 14.8,"63,344","6,619","5,260","7,978","5,260 to 7,978",10.4,8.3,12.6,8.3 to 12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,335 ","$51,107 ","$55,562 ","$51,107 to $55,562"
2006,39,39017,Butler County (OH),"343,312","38,678","33,990","43,367","33,990 to 43,367",11.3,9.9,12.6,9.9 to 12.6,"85,922","12,133","10,168","14,098","10,168 to 14,098",14.1,11.8,16.4,11.8 to 16.4,"62,177","7,369","6,006","8,732","6,006 to 8,732",11.9,9.7,14,9.7 to 14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,310 ","$51,484 ","$55,137 ","$51,484 to $55,137"
2005,39,39017,Butler County (OH),"338,314","39,779","35,094","44,465","35,094 to 44,465",11.8,10.4,13.1,10.4 to 13.1,"84,302","12,260","10,350","14,170","10,350 to 14,170",14.5,12.3,16.8,12.3 to 16.8,"60,965","7,541","6,240","8,842","6,240 to 8,842",12.4,10.2,14.5,10.2 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,615 ","$48,068 ","$53,161 ","$48,068 to $53,161"
